economics,Percent,Parent
origin,,
Industry,35,origin
Sugar,3,origin
Agriculture,3,origin
Prostitute,1,origin
Shipping,7,origin
Herding,2,origin
Trade,39,origin
Military,2,origin
Hunting,3,origin
Salt,6,origin
literati,2,origin
occult,3,origin
